date,account,category,amount,currency,converted amount,currency,description
03/01/2015,Наличные,Зарплата,5 000,UAH,5 000,UAH,
04/01/2015,Наличные,Одежда,-880,UAH,-880,UAH,Джинсы
04/01/2015,Наличные,Одежда,-1 596,UAH,-1 596,UAH,Две пары джинс
04/01/2015,Наличные,Одежда,-160,UAH,-160,UAH,Шапка
04/01/2015,Наличные,Одежда,-347,UAH,-347,UAH,Трусы
04/01/2015,Наличные,Кафе,-93,UAH,-93,UAH,Макдональдс
04/01/2015,Наличные,To 'Гривна',-2 000,UAH,-2 000,UAH,
04/01/2015,Гривна,From 'Наличные',2 000,UAH,2 000,UAH,
04/01/2015,Гривна,To 'Наличные',-200,UAH,-200,UAH,
04/01/2015,Наличные,From 'Гривна',200,UAH,200,UAH,
04/01/2015,Гривна,To 'Наличные',-100,UAH,-100,UAH,
04/01/2015,Наличные,From 'Гривна',100,UAH,100,UAH,
06/01/2015,Наличные,Развлечения,-15,UAH,-15,UAH,
06/01/2015,Наличные,Еда,-69,UAH,-69,UAH,
06/01/2015,Наличные,Одежда,-56,UAH,-56,UAH,
06/01/2015,Наличные,Электроника,-200,UAH,-200,UAH,
06/01/2015,Наличные,Транспорт,-7,UAH,-7,UAH,
06/01/2015,Наличные,Другое,-2,UAH,-2,UAH,
07/01/2015,Наличные,Транспорт,-7,UAH,-7,UAH,
07/01/2015,Гривна,To 'Наличные',-500,UAH,-500,UAH,
07/01/2015,Наличные,From 'Гривна',500,UAH,500,UAH,
07/01/2015,Наличные,Другое,-2,UAH,-2,UAH,
07/01/2015,Наличные,Развлечения,-60,UAH,-60,UAH,Пирогово 
07/01/2015,Наличные,Кафе,-40,UAH,-40,UAH,
07/01/2015,Наличные,Транспорт,-3,UAH,-3,UAH,
07/01/2015,Наличные,Транспорт,-7,UAH,-7,UAH,
07/01/2015,Наличные,Другое,-2,UAH,-2,UAH,
07/01/2015,Наличные,Бонус,20,UAH,20,UAH,
07/01/2015,Наличные,Бонус,4,UAH,4,UAH,
07/01/2015,Наличные,Еда,-141,UAH,-141,UAH,
09/01/2015,Наличные,Транспорт,-10,UAH,-10,UAH,
09/01/2015,Гривна,To 'Наличные',-300,UAH,-300,UAH,
09/01/2015,Наличные,From 'Гривна',300,UAH,300,UAH,
09/01/2015,Наличные,Кафе,-170,UAH,-170,UAH,
09/01/2015,Наличные,Развлечения,-275,UAH,-275,UAH,Комната
09/01/2015,Наличные,Бонус,50,UAH,50,UAH,
10/01/2015,Гривна,Электроника,-778,UAH,-778,UAH,
10/01/2015,Гривна,Посуда,-110,UAH,-110,UAH,Точилка 
10/01/2015,Наличные,Транспорт,-20,UAH,-20,UAH,
10/01/2015,Наличные,"Кино, театр, музей",-60,UAH,-60,UAH,Шоколадный дом
10/01/2015,Гривна,Еда,-500,UAH,-500,UAH,
10/01/2015,Гривна,To 'Наличные',-812,UAH,-812,UAH,
10/01/2015,Наличные,From 'Гривна',812,UAH,812,UAH,
11/01/2015,Наличные,"Кино, театр, музей",-30,UAH,-30,UAH,Камни
11/01/2015,Наличные,To 'Гривна',-400,UAH,-400,UAH,
11/01/2015,Гривна,From 'Наличные',400,UAH,400,UAH,
11/01/2015,Гривна,Зарплата,2 300,UAH,2 300,UAH,
12/01/2015,ПриватБанк,Зарплата,1 000,UAH,1 000,UAH,
12/01/2015,ПриватБанк,Связь,-21,UAH,-21,UAH,
12/01/2015,ПриватБанк,Связь,-11,UAH,-11,UAH,
13/01/2015,Наличные,Другое,-15,UAH,-15,UAH,
13/01/2015,Наличные,Кафе,-52,UAH,-52,UAH,
13/01/2015,ПриватБанк,Счета,-455,UAH,-455,UAH,
13/01/2015,Наличные,Бонус,500,UAH,500,UAH,
